a		+159 YT
able		+4 PT
about		+20 PT
acts		+1 PT - ZERO
actually		+18 PT
ad		+1 PT - ZERO
addition		+1 PT - ZERO
after		+10 PT
afterwards		+1 PT - ZERO
again		+8 PT
agrowill		+1 PT - ZERO
ahead		+2 YT
all		+50 YT
almost		+1 YT - ZERO
along		+3 YT
alright		+1 YT - ZERO
also		+8 YT
although		+1 PT - ZERO
always		+3 YT
am		+8 YT
amane		+1 PT - ZERO
amazed		+1 PT - ZERO
amazing		+1 YT - ZERO
an		+18 YT
and		+140 PT
angled		+1 YT - ZERO
anglophiles		+1 PT - ZERO
animal		+1 PT - ZERO
another		+11 YT
answer		+17 YT
any		+9 YT
anything		+9 YT
anyway		+3 YT
arbutus		+1 YT - ZERO
are		+26 PT
around		+4 PT
as		+26 PT
ask		+5 PT
asked		+6 YT
asks		+1 YT - ZERO
ass		+1 PT - ZERO
assume		+3 PT
at		+23 PT
attendant		+1 YT - ZERO
b		+3 YT
back		+27 YT
background		+1 PT - ZERO
backpack		+1 YT - ZERO
backup		+2 PT
bad		+2 YT
bar		+1 YT - ZERO
barbara		+1 PT - ZERO
barred		+1 PT - ZERO
bat		+1 YT - ZERO
be		+73 YT
bear		+2 YT - ZERO
because		+27 YT
bet		+4 YT
big		+3 PT
bill		+1 PT - ZERO
bloc		+1 PT - ZERO
block		+2 YT
blocks		+2 YT
blog		+1 PT - ZERO
book		+1 YT - ZERO
bought		+1 PT - ZERO
boxes		+1 YT - ZERO
bring		+1 PT - ZERO
brought		+1 YT - ZERO
budget		+1 PT - ZERO
build		+3 YT
but		+54 YT
bye		+1 YT - ZERO
c		+7 YT
cac		+1 PT - ZERO
call		+31 PT
called		+23 YT
calling		+6 YT
can		+43 YT
card		+1 PT - ZERO
cases		+1 PT - ZERO
causing		+1 PT - ZERO
cbd		+1 PT - ZERO
change		+5 YT
chern		+1 PT - ZERO
chest		+1 PT - ZERO
choice		+1 PT - ZERO
circuit		+1 PT - ZERO
cleared		+1 PT - ZERO
clue		+1 PT - ZERO
coat		+1 PT - ZERO
code		+14 YT
coke		+4 YT
cole		+1 YT - ZERO
come		+4 PT
coming		+1 YT - ZERO
comma		+5 YT
common		+2 PT
computer		+1 PT - ZERO
conscience		+1 PT - ZERO
cool		+1 PT - ZERO
could		+11 PT
creating		+3 YT
credit		+1 PT - ZERO
d		+2 YT - ZERO
day		+6 PT
dead		+1 YT - ZERO
deaf		+2 PT - ZERO
dealt		+1 PT - ZERO
death		+1 PT - ZERO
declared		+10 YT
def		+5 YT
define		+9 YT
definitely		+2 PT
depth		+1 YT - ZERO
describe		+1 PT - ZERO
describes		+1 YT - ZERO
desk		+1 PT - ZERO
deverill		+1 PT - ZERO
didn't		+4 PT
division		+1 PT - ZERO
do		+44 YT
does		+12 YT
doesn't		+10 YT
doing		+9 PT
domain		+1 YT - ZERO
done		+18 YT
